Title,Rating,Votes,Stars,Genres,Start_Year,End_Year
Arcane,9.0,220938,"['Kevin Alejandro', 'Jason Spisak', 'Terri Douglas']","['Animation', 'Action', 'Adventure']",2021,2023
Agents of S.H.I.E.L.D.,7.5,219575,"['Ming-Na Wen', 'Brett Dalton', 'Iain De Caestecker']","['Action', 'Adventure', 'Drama']",2013,2020
Jessica Jones,7.9,217949,"['Rachael Taylor', 'Eka Darville', 'Carrie-Anne Moss']","['Action', 'Crime', 'Drama']",2015,2019
Downton Abbey,8.7,211423,"['Phyllis Logan', 'Elizabeth McGovern', 'Brendan Coyle']","['Drama', 'Romance']",2010,2015
Big Little Lies,8.5,206460,"['Nicole Kidman', 'Shailene Woodley', 'Zoë Kravitz']","['Crime', 'Drama', 'Mystery']",2017,2019
Criminal Minds,8.1,205302,"['Matthew Gray Gubler', 'A.J. Cook', 'Joe Mantegna']","['Crime', 'Drama', 'Mystery']",2005,2023
Twin Peaks,8.8,202135,"['Michael Ontkean', 'Mädchen Amick', 'Dana Ashbrook']","['Crime', 'Drama', 'Mystery']",1990,1991
The End of the F***ing World,8.0,199061,"['Alex Lawther', 'Steve Oram', 'Christine Bottomley']","['Adventure', 'Comedy', 'Crime']",2017,2019
Euphoria,8.4,198519,"['Hunter Schafer', 'Angus Cloud', 'Jacob Elordi']",['Drama'],2019,2023
Boardwalk Empire,8.6,193216,"['Kelly Macdonald', 'Michael Shannon', 'Shea Whigham']","['Crime', 'Drama']",2010,2014
Cobra Kai,8.5,191370,"['William Zabka', 'Courtney Henggeler', 'Xolo Maridueña']","['Action', 'Comedy', 'Drama']",2018,2023
24,8.4,189690,"['Mary Lynn Rajskub', 'Carlos Bernard', 'Dennis Haysbert']","['Action', 'Crime', 'Drama']",2001,2010
The Mentalist,8.1,189125,"['Robin Tunney', 'Tim Kang', 'Owain Yeoman']","['Crime', 'Drama', 'Mystery']",2008,2015
Californication,8.3,183533,"['Natascha McElhone', 'Evan Handler', 'Pamela Adlon']","['Comedy', 'Drama']",2007,2014
That '70s Show,8.1,181415,"['Laura Prepon', 'Mila Kunis', 'Danny Masterson']","['Comedy', 'Drama', 'Romance']",1998,2006
Person of Interest,8.5,179965,"['Taraji P. Henson', 'Kevin Chapman', 'Michael Emerson']","['Action', 'Crime', 'Drama']",2011,2016
Gossip Girl,7.5,179211,"['Leighton Meester', 'Penn Badgley', 'Ed Westwick']","['Drama', 'Romance']",2007,2012
"Love, Death & Robots",8.4,175609,"['Scott Whyte', 'Nolan North', 'Noshir Dalal']","['Animation', 'Short', 'Action']",2019,2023
Altered Carbon,7.9,175590,"['Renée Elise Goldsberry', 'Dichen Lachman', 'Will Yun Lee']","['Action', 'Drama', 'Sci-Fi']",2018,2020
Rome,8.7,175179,"['Ray Stevenson', 'Polly Walker', 'Kerry Condon']","['Action', 'Drama', 'Romance']",2005,2007
She-Hulk: Attorney at Law,5.2,173724,"['Ginger Gonzaga', 'Malia Arrayah', 'Jameela Jamil']","['Action', 'Adventure', 'Comedy']",2022,2023
Entourage,8.5,171569,"['Adrian Grenier', 'Kevin Dillon', 'Jerry Ferrara']","['Comedy', 'Drama']",2004,2011
Pretty Little Liars,7.4,170726,"['Ashley Benson', 'Lucy Hale', 'Shay Mitchell']","['Drama', 'Mystery', 'Romance']",2010,2017
Battlestar Galactica,8.7,168677,"['Mary McDonnell', 'Jamie Bamber', 'James Callis']","['Action', 'Adventure', 'Drama']",2004,2009
Yellowstone,8.7,168332,"['Luke Grimes', 'Kelly Reilly', 'Wes Bentley']","['Drama', 'Western']",2018,2023
Fleabag,8.7,168002,"['Sian Clifford', 'Olivia Colman', 'Jenny Rainsford']","['Comedy', 'Drama']",2016,2019
The Good Place,8.2,167950,"['William Jackson Harper', 'Jameela Jamil', ""D'Arcy Carden""]","['Comedy', 'Drama', 'Fantasy']",2016,2020
One Punch Man,8.7,166510,"['Kaito Ishikawa', 'Max Mittelman', 'Zach Aguilar']","['Animation', 'Action', 'Comedy']",2015,2019
Castle,8.1,165732,"['Stana Katic', 'Susan Sullivan', 'Jon Huertas']","['Comedy', 'Crime', 'Drama']",2009,2016
BoJack Horseman,8.8,165287,"['Amy Sedaris', 'Alison Brie', 'Aaron Paul']","['Animation', 'Comedy', 'Drama']",2014,2020
Bones,7.8,164470,"['David Boreanaz', 'Michaela Conlin', 'T.J. Thyne']","['Comedy', 'Crime', 'Drama']",2005,2017
Outlander,8.4,163705,"['Sam Heughan', 'Sophie Skelton', 'Richard Rankin']","['Drama', 'Fantasy', 'Romance']",2014,2023
Succession,8.8,163048,"['Brian Cox', 'Kieran Culkin', 'Peter Friedman']",['Drama'],2018,2023
The Book of Boba Fett,7.3,161243,"['Ming-Na Wen', 'Frank Trigg', 'Collin Hymes']","['Action', 'Adventure', 'Sci-Fi']",2021,2022
The White Lotus,7.9,159839,"['Jon Gries', 'F. Murray Abraham', 'Adam DiMarco']","['Comedy', 'Drama']",2021,2023
The Expanse,8.5,158594,"['Dominique Tipper', 'Wes Chatham', 'Shohreh Aghdashloo']","['Drama', 'Mystery', 'Sci-Fi']",2015,2022
Archer,8.6,157936,"['Judy Greer', 'Amber Nash', 'Chris Parnell']","['Animation', 'Action', 'Comedy']",2009,2023
Sense8,8.2,156934,"['Jamie Clayton', 'Tina Desai', 'Tuppence Middleton']","['Drama', 'Mystery', 'Sci-Fi']",2015,2018
The IT Crowd,8.5,156081,"['Richard Ayoade', 'Katherine Parkinson', 'Matt Berry']",['Comedy'],2006,2013
How to Get Away with Murder,8.1,155874,"['Billy Brown', 'Jack Falahee', 'Aja Naomi King']","['Crime', 'Drama', 'Mystery']",2014,2020
Silicon Valley,8.5,154464,"['T.J. Miller', 'Josh Brener', 'Martin Starr']",['Comedy'],2014,2019
Teen Wolf,7.7,154206,"['Holland Roden', ""Dylan O'Brien"", 'Linden Ashby']","['Action', 'Drama', 'Fantasy']",2011,2017
The Sandman,7.7,153698,"['Boyd Holbrook', 'Patton Oswalt', 'Vivienne Acheampong']","['Drama', 'Fantasy', 'Horror']",2022,2023
